timestamp,symbol,stage,LIVE,BACKTEST,diff
2026-01-15T09:30:00,005930,candidate,ACTIVE,ACTIVE,
2026-01-15T09:30:00,005930,strategy,INT_BREAKOUT,INT_BREAKOUT,
2026-01-15T09:30:00,005930,score,85.0,85.0,
2026-01-15T09:30:00,005930,features_hash,fca39644,fca39644,
2026-01-15T09:30:00,005930,similarity,0.5000,0.5000,
2026-01-15T09:30:00,005930,ml_probability,0.6500,0.6500,
2026-01-15T09:30:00,005930,meta_decision,BUY,BUY,
2026-01-15T09:30:00,005930,edge,0.6262,0.6262,
2026-01-15T09:30:00,005930,risk,NORMAL,NORMAL,
2026-01-15T09:30:00,005930,position_size,45,45,
2026-01-15T09:30:00,005930,stop,69000,69000,
2026-01-15T09:30:00,005930,target,72000,72000,
