Timestamp,Symbol,Name,Strategy,Score,PTarget,ExpectedNetR,Decision,Reason,RefPrice,MFE,MAE,ReturnPct,ReachedTarget1R,ReachedStop
2026-01-02T09:00:00,005930,삼성전자,NONE,20.0,0.0,0.0,NO_TRADE,NO_SETUP_MATCH (NO_SETUP),69826,+3.05%,-0.91%,+2.91%,False,False
2026-01-02T09:00:00,000660,SK하이닉스,NONE,20.0,0.0,0.0,NO_TRADE,NO_SETUP_MATCH (NO_SETUP),16161,+1.29%,-3.09%,-2.02%,False,False
2026-01-02T09:00:00,035420,NAVER,NONE,20.0,0.0,0.0,NO_TRADE,NO_SETUP_MATCH (NO_SETUP),54286,+1.17%,-1.50%,+0.52%,False,False
2026-01-02T09:00:00,035720,카카오,NONE,20.0,0.0,0.0,NO_TRADE,NO_SETUP_MATCH (NO_SETUP),63242,+1.14%,-3.16%,+0.28%,False,False
2026-01-02T09:00:00,459510,나우로보틱스,NONE,20.0,0.0,0.0,NO_TRADE,NO_SETUP_MATCH (NO_SETUP),39802,+2.83%,-0.31%,+2.08%,False,False
2026-01-02T09:00:00,462310,뉴키즈온,NONE,20.0,0.0,0.0,NO_TRADE,NO_SETUP_MATCH (NO_SETUP),50805,+0.14%,-5.90%,-4.08%,False,False
2026-01-02T09:00:00,068270,셀트리온,NONE,20.0,0.0,0.0,NO_TRADE,NO_SETUP_MATCH (NO_SETUP),72247,+1.46%,-1.04%,+0.42%,False,False
2026-01-02T09:00:00,005380,현대자동차,NONE,20.0,0.0,0.0,NO_TRADE,NO_SETUP_MATCH (NO_SETUP),36477,+7.33%,-0.73%,+7.09%,False,False
2026-01-02T09:05:00,005930,삼성전자,NONE,20.0,0.0,0.0,NO_TRADE,NO_SETUP_MATCH (NO_SETUP),69667,+4.09%,-0.68%,+3.70%,False,False
2026-01-02T09:05:00,000660,SK하이닉스,NONE,20.0,0.0,0.0,NO_TRADE,NO_SETUP_MATCH (NO_SETUP),16041,+2.05%,-2.37%,-0.64%,False,False
2026-01-02T09:05:00,035420,NAVER,NONE,20.0,0.0,0.0,NO_TRADE,NO_SETUP_MATCH (NO_SETUP),54393,+0.97%,-1.70%,+0.80%,False,False
2026-01-02T09:05:00,035720,카카오,NONE,45.0,0.0,0.0,NO_TRADE,NO_SETUP_MATCH (NO_SETUP),62579,+2.29%,-2.13%,+2.20%,False,False
