trade_id,symbol,entry_time,entry_price,initial_qty,initial_stop,initial_risk_per_share,initial_risk_amount,entry_notional,exit_notional,scale_out_qty,scale_out_price,scale_out_pnl,target2_qty,target2_price,target2_pnl,final_exit_qty,final_exit_price,final_exit_pnl,benchmark_gross_pnl,slippage_cost,slippage_adjustment,gross_pnl,commission,tax,net_pnl,trade_r,is_outlier
POS_000660_1767312600_1,000660,2026-01-02T09:10:00.300000,16090.0,1666,15890.0,200.0,333200.0,26805940.0,26889240.0,0,0.0,0.0,0,0.0,0.0,1666,16140.0,83300.0,166600.0,83300.0,-83300.0,83300.0,8054.276999999999,48400.632,26845.091,0.0806,False
POS_005930_1767317100_4,005930,2026-01-02T10:25:00.300000,70600.0,564,69200.0,1400.0,789600.0,39818400.0,39852200.0,169,70800.0,33800.0,0,0.0,0.0,395,70600.0,0.0,33800.0,0.0,-0.0,33800.0,11950.589999999998,71733.95999999999,-49884.54999999999,-0.0632,False
POS_459510_1767313200_2,459510,2026-01-02T09:20:00.300000,39950.0,1253,39850.0,100.0,125300.0,50057350.0,50593700.0,375,40550.0,225000.0,263,40900.0,249850.0,615,40050.0,61500.0,520975.0,-15375.0,15375.0,536350.0,15097.657499999998,91068.66,430183.6825,3.4332,False
POS_459510_1767313200_3,459510,2026-01-02T09:20:00.300000,39950.0,1253,39850.0,100.0,125300.0,50057350.0,50593700.0,375,40550.0,225000.0,263,40900.0,249850.0,615,40050.0,61500.0,520975.0,-15375.0,15375.0,536350.0,15097.657499999998,91068.66,430183.6825,3.4332,False
POS_459510_1767318300_6,459510,2026-01-02T10:45:00.300000,40250.0,840,39900.0,350.0,294000.0,33810000.0,33726000.0,0,0.0,0.0,0,0.0,0.0,840,40150.0,-84000.0,-86520.0,-2520.0,2520.0,-84000.0,10130.4,60706.799999999996,-154837.19999999998,-0.5267,False
POS_459510_1767318300_7,459510,2026-01-02T10:45:00.300000,40350.0,840,39900.0,450.0,378000.0,33894000.0,33726000.0,0,0.0,0.0,0,0.0,0.0,840,40150.0,-168000.0,-170520.0,-2520.0,2520.0,-168000.0,10143.0,60706.799999999996,-238849.8,-0.6319,False
POS_005930_1767320400_8,005930,2026-01-02T11:20:00.300000,70700.0,565,70100.0,600.0,339000.0,39945500.0,40131400.0,169,71800.0,185900.0,0,0.0,0.0,396,70700.0,0.0,185900.0,0.0,-0.0,185900.0,12011.535,72236.51999999999,101651.945,0.2999,False
POS_459510_1767324900_10,459510,2026-01-02T12:35:00.300000,40650.0,1146,40350.0,300.0,343800.0,46584900.0,47283050.0,343,41200.0,188650.0,240,41600.0,228000.0,563,41150.0,281500.0,690831.0,-7319.0,7319.0,698150.0,14080.1925,85109.48999999999,598960.3175,1.7422,False
POS_459510_1767324900_11,459510,2026-01-02T12:35:00.300000,40750.0,1146,40350.0,400.0,458400.0,46699500.0,47283050.0,343,41200.0,154350.0,240,41600.0,204000.0,563,41150.0,225200.0,576231.0,-7319.0,7319.0,583550.0,14097.3825,85109.48999999999,484343.12750000006,1.0566,False
POS_000660_1767330600_12,000660,2026-01-02T14:10:00.300000,16470.0,2522,16320.0,150.0,378300.0,41537340.0,41159040.0,0,0.0,0.0,0,0.0,0.0,2522,16320.0,-378300.0,-378300.0,0.0,-0.0,-378300.0,12404.456999999999,74086.272,-464790.729,-1.2286,False
